method,backbone,dataset,precision,recall,f05,fpr,fnr,tp,fp,tn,fn,source
RF [3],-,MB1,0.5201612903225806,0.35054347826086957,0.47426470588235287,0.014059546313799623,0.6494565217391305,129,119,8345,239,published_table_sampled_support_reconstruction
RF [3],-,MB2,0.6796875,0.32923368022705773,0.5603864734299517,0.006745917485911727,0.6707663197729423,348,164,24147,709,published_table_sampled_support_reconstruction
NN [3],-,MB1,0.6312056737588653,0.2418478260869565,0.47746781115879827,0.006143667296786389,0.7581521739130435,89,52,8412,279,published_table_sampled_support_reconstruction
NN [3],-,MB2,0.5705329153605015,0.17218543046357615,0.39005572224603513,0.005635309119328699,0.8278145695364238,182,137,24174,875,published_table_sampled_support_reconstruction
EC [8],-,MB1,0.780952380952381,0.22282608695652173,0.5203045685279187,0.002717391304347826,0.7771739130434783,82,23,8441,286,published_table_sampled_support_reconstruction
EC [8],-,MB2,0.8503401360544217,0.23651844843897823,0.5597850425436631,0.0018098803010982683,0.7634815515610217,250,44,24267,807,published_table_sampled_support_reconstruction
AE [7],-,MB1,0.4789915966386555,0.30978260869565216,0.43181818181818177,0.014650283553875236,0.6902173913043478,114,124,8340,254,published_table_sampled_support_reconstruction
AE [7],-,MB2,0.5701943844492441,0.24976348155156103,0.4537641801306291,0.008185594998148986,0.750236518448439,264,199,24112,793,published_table_sampled_support_reconstruction
LSTM [17],-,MB1,0.5292096219931272,0.41847826086956524,0.5026109660574413,0.016186200378071832,0.5815217391304348,154,137,8327,214,published_table_sampled_support_reconstruction
LSTM [17],-,MB2,0.6004540295119183,0.5004730368968779,0.5773848504693299,0.014479042408786147,0.49952696310312206,529,352,23959,528,published_table_sampled_support_reconstruction
MVTRF [36],-,MB1,0.8297872340425532,0.529891304347826,0.745412844036697,0.004725897920604915,0.4701086956521739,195,40,8424,173,published_table_sampled_support_reconstruction
MVTRF [36],-,MB2,0.7300771208226221,0.2686849574266793,0.5434366628396479,0.004319032536711776,0.7313150425733207,284,105,24206,773,published_table_sampled_support_reconstruction
MSFRD [37],-,MB1,0.8695652173913043,0.4891304347826087,0.7525083612040134,0.0031899810964083177,0.5108695652173914,180,27,8437,188,published_table_sampled_support_reconstruction
MSFRD [37],-,MB2,0.8192488262910798,0.3301797540208136,0.6320173850054328,0.0031672905269219693,0.6698202459791863,349,77,24234,708,published_table_sampled_support_reconstruction
Raw-LLM,OS1,MB1,0.0,0.0,0.0,0.010042533081285445,1.0,0,85,8379,368,published_table_zero_row_visible_fpr_fallback
Raw-LLM,OS1,MB2,0.0,0.0,0.0,0.009995475299247254,1.0,0,243,24068,1057,published_table_zero_row_visible_fpr_fallback
Heuristic-LLM,OS1,MB1,0.35714285714285715,0.04076086956521739,0.13992537313432835,0.0031899810964083177,0.9592391304347826,15,27,8437,353,published_table_sampled_support_reconstruction
Heuristic-LLM,OS1,MB2,0.8928571428571429,0.07095553453169347,0.2692031586503948,0.0003702027888610094,0.9290444654683065,75,9,24302,982,published_table_sampled_support_reconstruction
Raw-LLM,OS2,MB1,0.0,0.0,0.0,0.010042533081285445,1.0,0,85,8379,368,published_table_zero_row_visible_fpr_fallback
Raw-LLM,OS2,MB2,0.0,0.0,0.0,0.009995475299247254,1.0,0,243,24068,1057,published_table_zero_row_visible_fpr_fallback
Heuristic-LLM,OS2,MB1,0.2619047619047619,0.029891304347826088,0.10261194029850745,0.003662570888468809,0.970108695652174,11,31,8433,357,published_table_sampled_support_reconstruction
Heuristic-LLM,OS2,MB2,0.8461538461538461,0.041627246925260174,0.1739130434782609,0.00032906914565423057,0.9583727530747398,44,8,24303,1013,published_table_sampled_support_reconstruction
Raw-LLM,OS3,MB1,0.0,0.0,0.0,0.010042533081285445,1.0,0,85,8379,368,published_table_zero_row_visible_fpr_fallback
Raw-LLM,OS3,MB2,0.0,0.0,0.0,0.009995475299247254,1.0,0,243,24068,1057,published_table_zero_row_visible_fpr_fallback
Heuristic-LLM,OS3,MB1,0.23333333333333334,0.019021739130434784,0.07172131147540983,0.002717391304347826,0.9809782608695652,7,23,8441,361,published_table_sampled_support_reconstruction
Heuristic-LLM,OS3,MB2,0.8775510204081632,0.04068117313150426,0.1715881883479649,0.00024680185924067297,0.9593188268684958,43,6,24305,1014,published_table_sampled_support_reconstruction
Raw-LLM,OS4,MB1,0.0,0.0,0.0,0.010042533081285445,1.0,0,85,8379,368,published_table_zero_row_visible_fpr_fallback
Raw-LLM,OS4,MB2,0.0,0.0,0.0,0.009995475299247254,1.0,0,243,24068,1057,published_table_zero_row_visible_fpr_fallback
Heuristic-LLM,OS4,MB1,0.5098039215686274,0.07065217391304347,0.22727272727272727,0.002953686200378072,0.9293478260869565,26,25,8439,342,published_table_sampled_support_reconstruction
Heuristic-LLM,OS4,MB2,0.7818181818181819,0.04068117313150426,0.16836335160532498,0.0004936037184813459,0.9593188268684958,43,12,24299,1014,published_table_sampled_support_reconstruction
Raw-LLM,PROP,MB1,0.5,0.010869565217391304,0.05,0.0004725897920604915,0.9891304347826086,4,4,8460,364,published_table_sampled_support_reconstruction
Raw-LLM,PROP,MB2,0.55,0.020813623462630087,0.0903861955628595,0.0007404055777220188,0.97918637653737,22,18,24293,1035,published_table_sampled_support_reconstruction
Heuristic-LLM,PROP,MB1,0.42857142857142855,0.04076086956521739,0.14763779527559057,0.0023629489603024575,0.9592391304347826,15,20,8444,353,published_table_sampled_support_reconstruction
Heuristic-LLM,PROP,MB2,0.8295454545454546,0.06906338694418164,0.2590489709013485,0.0006170046481016823,0.9309366130558183,73,15,24296,984,published_table_sampled_support_reconstruction
SMARTTalk,OS1,MB1,0.8095238095238095,0.3695652173913043,0.6538461538461537,0.003780718336483932,0.6304347826086957,136,32,8432,232,published_table_sampled_support_reconstruction
SMARTTalk,OS1,MB2,0.7506112469437652,0.2904446546830653,0.5699962866691421,0.0041956316070914405,0.7095553453169348,307,102,24209,750,published_table_sampled_support_reconstruction
SMARTTalk,OS2,MB1,0.867816091954023,0.41032608695652173,0.7095864661654135,0.002717391304347826,0.5896739130434783,151,23,8441,217,published_table_sampled_support_reconstruction
SMARTTalk,OS2,MB2,0.8692493946731235,0.33964049195837276,0.6626061277224068,0.0022212167331660563,0.6603595080416272,359,54,24257,698,published_table_sampled_support_reconstruction
SMARTTalk,OS3,MB1,0.9019607843137255,0.5,0.7770270270270271,0.0023629489603024575,0.5,184,20,8444,184,published_table_sampled_support_reconstruction
SMARTTalk,OS3,MB2,0.8099547511312217,0.3386944181646168,0.6336283185840708,0.0034552260293694214,0.6613055818353831,358,84,24227,699,published_table_sampled_support_reconstruction
SMARTTalk,OS4,MB1,0.799163179916318,0.5190217391304348,0.7212990936555892,0.005671077504725898,0.48097826086956524,191,48,8416,177,published_table_sampled_support_reconstruction
SMARTTalk,OS4,MB2,0.8,0.34058656575212864,0.6300315015750787,0.003702027888610094,0.6594134342478714,360,90,24221,697,published_table_sampled_support_reconstruction
SMARTTalk,PROP,MB1,0.8505154639175257,0.4483695652173913,0.7211538461538461,0.0034262759924385635,0.5516304347826086,165,29,8435,203,published_table_sampled_support_reconstruction
SMARTTalk,PROP,MB2,0.8708791208791209,0.29990539262062443,0.6307202546756864,0.0019332812307186048,0.7000946073793756,317,47,24264,740,published_table_sampled_support_reconstruction
