method,backbone,mb1_precision,mb1_recall,mb1_f05,mb1_fpr,mb1_fnr,mb2_precision,mb2_recall,mb2_f05,mb2_fpr,mb2_fnr
RF [3],,0.5200,0.3500,0.4700,0.0140,0.6500,0.6800,0.3300,0.5600,0.0068,0.6700
NN [3],,0.6300,0.2400,0.4800,0.0061,0.7600,0.5700,0.1700,0.3900,0.0056,0.8300
EC [8],,0.7800,0.2200,0.5200,0.0027,0.7800,0.8500,0.2400,0.5600,0.0018,0.7600
AE [7],,0.4800,0.3100,0.4300,0.0146,0.6900,0.5700,0.2500,0.4500,0.0082,0.7500
LSTM [17],,0.5300,0.4200,0.5000,0.0162,0.5800,0.6000,0.5000,0.5800,0.0145,0.5000
MVTRF [36],,0.8300,0.5300,0.7500,0.0047,0.4700,0.7300,0.2700,0.5400,0.0043,0.7300
MSFRD [37],,0.8700,0.4900,0.7500,0.0032,0.5100,0.8200,0.3300,0.6300,0.0031,0.6700
Raw-LLM,OS1,0.0000,0.0000,0.0000,0.0061,1.0000,0.0000,0.0000,0.0000,0.0058,1.0000
Heuristic-LLM,OS1,0.3600,0.0400,0.1400,0.0031,0.9600,0.8900,0.0700,0.2700,0.0004,0.9300
Raw-LLM,OS2,0.0000,0.0000,0.0000,0.0074,1.0000,0.0000,0.0000,0.0000,0.0062,1.0000
Heuristic-LLM,OS2,0.2600,0.0300,0.1000,0.0037,0.9700,0.8500,0.0400,0.1700,0.0003,0.9600
Raw-LLM,OS3,0.0000,0.0000,0.0000,0.0059,1.0000,0.0000,0.0000,0.0000,0.0055,1.0000
Heuristic-LLM,OS3,0.2300,0.0200,0.0700,0.0029,0.9800,0.8800,0.0400,0.1700,0.0002,0.9600
Raw-LLM,OS4,0.0000,0.0000,0.0000,0.0080,1.0000,0.0000,0.0000,0.0000,0.0066,1.0000
Heuristic-LLM,OS4,0.5100,0.0700,0.2300,0.0029,0.9300,0.7800,0.0400,0.1700,0.0005,0.9600
Raw-LLM,PROP,0.5000,0.0100,0.0500,0.0004,0.9900,0.5500,0.0200,0.0900,0.0007,0.9800
Heuristic-LLM,PROP,0.4300,0.0400,0.1500,0.0023,0.9600,0.8300,0.0700,0.2600,0.0006,0.9300
SMARTTalk,OS1,0.8100,0.3700,0.6500,0.0038,0.6300,0.7500,0.2900,0.5700,0.0042,0.7100
SMARTTalk,OS2,0.8700,0.4100,0.7100,0.0027,0.5900,0.8700,0.3400,0.6600,0.0022,0.6600
SMARTTalk,OS3,0.9000,0.5000,0.7800,0.0024,0.5000,0.8100,0.3400,0.6300,0.0035,0.6600
SMARTTalk,OS4,0.8000,0.5200,0.7200,0.0057,0.4800,0.8000,0.3400,0.6300,0.0037,0.6600
SMARTTalk,PROP,0.8500,0.4500,0.7200,0.0035,0.5500,0.8700,0.3000,0.6300,0.0019,0.7000
